sector_id,gouvernorat,gov_type,zone_type,lat,lon,population,nb_menages,taille_menage,surface_km2,densite_pop,nb_food_poi,nb_bennes_org,dist_centre,zone_coeff,nb_chiens,risk_class
TUN_0036,Tunis,urban,commercial,36.80308,10.15005,14182,3956,3.58,1.186,11958.9,20,21,0.455,1.6,2587,2
TUN_0037,Tunis,urban,commercial,36.83535,10.15504,35442,9005,3.94,0.84,42213.2,23,43,0.272,1.6,6612,2
TUN_0038,Tunis,urban,industrial,36.88335,10.14377,6992,2286,3.06,2.153,3247.3,2,10,0.466,0.7,413,1
TUN_0039,Tunis,urban,mixed,36.85172,10.16322,16024,4072,3.93,3.217,4981.0,14,16,0.684,1.3,1888,2
TUN_0040,Tunis,urban,commercial,36.82819,10.171,12033,3540,3.4,4.837,2487.6,26,22,0.24,1.6,1699,2
TUN_0041,Tunis,urban,residential,36.7545,10.10125,31217,8848,3.53,0.258,121213.4,3,45,0.537,1.0,3125,2
TUN_0042,Tunis,urban,residential,36.8197,10.16479,48665,16567,2.94,1.871,26006.7,6,51,0.47,1.0,5214,2
TUN_0043,Tunis,urban,residential,36.74862,10.12711,19653,4107,4.78,1.345,14615.6,4,23,0.227,1.0,1714,1
TUN_0044,Tunis,urban,residential,36.75789,10.20165,50733,13555,3.74,1.485,34153.1,2,57,0.322,1.0,5092,2
TUN_0045,Tunis,urban,mixed,36.75692,10.12518,17514,4841,3.62,0.606,28901.4,11,17,0.487,1.3,2831,2
TUN_0046,Tunis,urban,residential,36.92676,10.19961,8792,3074,2.86,1.575,5581.2,6,11,0.805,1.0,705,1
TUN_0047,Tunis,urban,park,36.8318,10.21513,17139,4883,3.51,2.927,5854.9,1,15,0.27,0.9,1665,1
TUN_0048,Tunis,urban,residential,36.88607,10.12181,35080,10254,3.42,0.535,65559.6,3,49,0.747,1.0,4009,2
TUN_0049,Tunis,urban,commercial,36.81725,10.25454,8790,2346,3.75,3.632,2420.4,29,12,0.865,1.6,1146,2
ARI_0000,Ariana,urban,residential,36.88401,10.22453,28515,7604,3.75,1.376,20726.8,4,46,0.837,1.0,3280,2
ARI_0001,Ariana,urban,mixed,36.92145,10.18998,19779,6042,3.27,3.829,5166.0,12,34,0.808,1.3,2110,2
ARI_0002,Ariana,urban,park,36.93735,10.20383,17948,5058,3.55,1.837,9771.7,1,14,0.457,0.9,1605,1
ARI_0003,Ariana,urban,park,36.84272,10.26667,5481,1939,2.83,2.119,2586.2,0,9,0.446,0.9,541,1
ARI_0004,Ariana,urban,residential,36.98049,10.16081,8871,2648,3.35,1.389,6385.2,3,10,0.201,1.0,910,2
ARI_0005,Ariana,urban,commercial,36.82338,10.21757,25914,8146,3.18,0.645,40190.9,20,37,0.465,1.6,3968,2
ARI_0006,Ariana,urban,residential,36.79603,10.15745,15810,3379,4.68,1.793,8818.5,4,25,0.801,1.0,1393,1
ARI_0007,Ariana,urban,residential,36.90602,10.21936,28261,7345,3.85,2.105,13423.9,6,38,0.242,1.0,3453,2
ARI_0008,Ariana,urban,mixed,36.90589,10.11953,20674,6510,3.18,4.585,4509.2,7,30,0.581,1.3,2352,2
ARI_0009,Ariana,urban,residential,36.92475,10.11784,12051,3152,3.82,1.896,6356.2,7,17,0.836,1.0,979,1
ARI_0010,Ariana,urban,mixed,36.92109,10.25953,13913,4050,3.43,2.906,4788.1,15,17,0.381,1.3,1535,2
ARI_0011,Ariana,urban,industrial,36.88214,10.21684,6493,1467,4.42,1.611,4030.4,1,7,0.208,0.7,436,1
ARI_0012,Ariana,urban,mixed,36.82796,10.19329,14412,4759,3.03,6.964,2069.5,13,18,0.693,1.3,1249,1
ARI_0013,Ariana,urban,mixed,36.81665,10.19161,15280,4662,3.28,2.418,6318.3,11,20,0.093,1.3,1736,2
ARI_0014,Ariana,urban,mixed,36.93497,10.24023,6456,1715,3.76,2.715,2378.2,12,4,0.611,1.3,741,2
ARI_0015,Ariana,urban,mixed,36.88507,10.30313,8337,2255,3.7,1.931,4317.3,15,14,0.403,1.3,921,2
ARI_0016,Ariana,urban,residential,36.83989,10.20458,12762,4020,3.17,1.815,7031.8,6,16,0.394,1.0,1307,2
ARI_0017,Ariana,urban,mixed,36.85637,10.23818,10901,3345,3.26,6.853,1590.7,10,18,0.751,1.3,1377,2
ARI_0018,Ariana,urban,industrial,36.80722,10.20996,5238,1390,3.77,0.169,31024.4,2,8,0.152,0.7,422,1
ARI_0019,Ariana,urban,residential,36.94004,10.23651,11032,3867,2.85,4.424,2493.9,5,10,0.73,1.0,909,1
ARI_0020,Ariana,urban,residential,36.86893,10.09409,9675,2465,3.92,0.72,13430.2,6,9,0.716,1.0,1153,2
ARI_0021,Ariana,urban,commercial,36.89236,10.14814,13701,5593,2.45,7.623,1797.2,27,20,0.902,1.6,1931,2
ARI_0022,Ariana,urban,mixed,36.86179,10.21044,31372,8713,3.6,2.09,15008.4,14,33,0.8,1.3,4434,2
ARI_0023,Ariana,urban,commercial,36.87102,10.14257,14227,3761,3.78,4.956,2870.8,23,20,0.623,1.6,1618,2
ARI_0024,Ariana,urban,mixed,36.78273,10.24513,5065,1685,3.0,0.542,9337.3,9,6,0.011,1.3,798,2
ARI_0025,Ariana,urban,mixed,36.81579,10.24255,16187,4273,3.79,0.822,19700.9,17,28,0.366,1.3,2037,2
ARI_0026,Ariana,urban,commercial,36.88099,10.11435,18235,6717,2.71,1.019,17893.5,28,21,0.779,1.6,3262,2
ARI_0027,Ariana,urban,industrial,36.84995,10.18023,23172,6692,3.46,4.135,5603.6,1,31,0.372,0.7,1609,1
ARI_0028,Ariana,urban,residential,36.85765,10.24219,8044,2037,3.95,1.708,4710.9,5,11,0.537,1.0,949,2
ARI_0029,Ariana,urban,residential,36.81426,10.16154,23902,8994,2.66,1.035,23087.9,6,23,0.345,1.0,2030,1
ARI_0030,Ariana,urban,residential,36.89546,10.13938,7883,2241,3.52,3.947,1997.0,7,12,0.67,1.0,673,1
ARI_0031,Ariana,urban,industrial,36.79844,10.10219,11950,3071,3.89,0.879,13592.6,2,9,0.555,0.7,940,1
ARI_0032,Ariana,urban,commercial,36.89498,10.16864,33855,11537,2.93,2.598,13031.0,25,50,0.24,1.6,5456,2
ARI_0033,Ariana,urban,commercial,36.79941,10.14074,15066,4938,3.05,1.662,9062.6,23,21,0.356,1.6,2020,2
ARI_0034,Ariana,urban,commercial,36.88586,10.15957,14851,4210,3.53,0.761,19516.9,24,19,0.711,1.6,2478,2
ARI_0035,Ariana,urban,industrial,36.86515,10.21585,12410,3725,3.33,1.875,6619.7,1,10,0.432,0.7,890,1
ARI_0036,Ariana,urban,commercial,36.90311,10.19251,14790,3184,4.64,3.33,4441.7,24,25,0.659,1.6,2040,2
ARI_0037,Ariana,urban,commercial,36.81834,10.17184,8768,2372,3.7,1.613,5435.5,25,19,0.723,1.6,1106,2
ARI_0038,Ariana,urban,mixed,36.90497,10.16198,3643,1111,3.28,2.057,1771.0,11,9,0.33,1.3,454,2
ARI_0039,Ariana,urban,commercial,36.81642,10.25402,14501,4587,3.16,0.561,25839.9,25,8,0.392,1.6,2171,2
ARI_0040,Ariana,urban,mixed,36.81872,10.22608,9193,2801,3.28,2.065,4452.6,7,14,0.392,1.3,1245,2
ARI_0041,Ariana,urban,commercial,36.85116,10.20937,8351,2106,3.96,1.381,6045.9,26,6,0.765,1.6,1328,2
ARI_0042,Ariana,urban,residential,36.7904,10.21872,13414,3692,3.63,1.689,7940.0,9,25,0.498,1.0,1342,2
ARI_0043,Ariana,urban,commercial,36.82247,10.16497,12995,2706,4.8,1.395,9316.5,22,18,0.737,1.6,1992,2
ARI_0044,Ariana,urban,commercial,36.76029,10.22345,16513,3910,4.22,0.857,19257.4,20,25,0.402,1.6,2921,2
ARI_0045,Ariana,urban,commercial,36.89463,10.23292,5669,2164,2.62,3.741,1515.5,28,7,0.439,1.6,764,2
ARI_0046,Ariana,urban,commercial,36.79673,10.20349,20129,6339,3.18,2.421,8315.4,28,25,0.605,1.6,3058,2
ARI_0047,Ariana,urban,commercial,36.77658,10.21016,21215,5596,3.79,1.845,11496.0,18,32,0.546,1.6,3474,2
ARI_0048,Ariana,urban,residential,36.9033,10.25535,19311,5675,3.4,0.685,28189.9,5,16,0.404,1.0,1970,2
ARI_0049,Ariana,urban,residential,36.87735,10.19837,10406,2829,3.68,3.344,3111.6,5,13,0.941,1.0,1012,1
BEN_0000,Ben Arous,urban,residential,36.80388,10.36116,14801,5444,2.72,0.862,17165.4,6,16,0.547,1.0,1483,2
BEN_0001,Ben Arous,urban,mixed,36.75404,10.1916,15218,4930,3.09,0.721,21114.9,11,24,0.257,1.3,2033,2
BEN_0002,Ben Arous,urban,residential,36.74398,10.38766,28044,8802,3.19,0.915,30644.8,4,30,0.618,1.0,3052,2
BEN_0003,Ben Arous,urban,park,36.75639,10.27064,9683,2330,4.15,2.533,3822.8,2,10,0.218,0.9,815,1
BEN_0004,Ben Arous,urban,mixed,36.71621,10.23818,9236,2357,3.92,2.314,3991.7,17,8,0.622,1.3,1088,2
BEN_0005,Ben Arous,urban,commercial,36.78198,10.24429,15910,4598,3.46,1.332,11947.0,27,26,0.576,1.6,2782,2
BEN_0006,Ben Arous,urban,residential,36.72474,10.20746,11819,3251,3.64,2.553,4628.9,7,19,0.41,1.0,950,1
BEN_0007,Ben Arous,urban,mixed,36.79656,10.1607,5111,1243,4.11,2.508,2038.0,10,7,0.79,1.3,605,2
BEN_0008,Ben Arous,urban,commercial,36.66776,10.11415,37181,9262,4.01,7.538,4932.7,29,50,0.151,1.6,5274,2
BEN_0009,Ben Arous,urban,commercial,36.77136,10.31991,24450,7564,3.23,1.082,22601.9,22,27,0.334,1.6,3925,2
BEN_0010,Ben Arous,urban,residential,36.7565,10.28609,11842,4630,2.56,0.981,12074.8,4,17,0.319,1.0,1080,1
BEN_0011,Ben Arous,urban,residential,36.75677,10.1479,15887,4373,3.63,6.684,2377.0,8,26,0.41,1.0,1365,1
BEN_0012,Ben Arous,urban,commercial,36.74199,10.12461,9250,2491,3.71,0.573,16129.4,26,12,0.679,1.6,1693,2
BEN_0013,Ben Arous,urban,residential,36.65924,10.23375,7586,2142,3.54,1.039,7303.3,0,2,0.104,1.0,622,1
BEN_0014,Ben Arous,urban,residential,36.79906,10.20088,19727,6453,3.06,2.477,7964.6,7,23,0.5,1.0,1764,1
BEN_0015,Ben Arous,urban,mixed,36.69848,10.29855,10370,3081,3.37,1.441,7196.3,11,8,0.239,1.3,1152,2
BEN_0016,Ben Arous,urban,mixed,36.65503,10.26463,14236,3950,3.6,1.776,8016.5,8,17,0.73,1.3,1815,2
BEN_0017,Ben Arous,urban,park,36.66203,10.19334,26843,8449,3.18,2.03,13220.2,2,39,0.714,0.9,1855,1
BEN_0018,Ben Arous,urban,mixed,36.81852,10.29778,25329,6306,4.02,1.169,21673.2,11,30,0.836,1.3,3138,2
BEN_0019,Ben Arous,urban,commercial,36.74789,10.24846,12701,3132,4.06,1.63,7793.1,27,15,0.331,1.6,1497,2
BEN_0020,Ben Arous,urban,residential,36.83164,10.24052,11768,3491,3.37,1.848,6366.4,6,13,0.895,1.0,997,1
BEN_0021,Ben Arous,urban,commercial,36.62649,10.2137,26055,8388,3.11,0.679,38349.5,15,33,0.404,1.6,5037,2
BEN_0022,Ben Arous,urban,mixed,36.71973,10.27166,37544,11460,3.28,1.205,31150.6,12,52,0.193,1.3,5001,2
BEN_0023,Ben Arous,urban,industrial,36.78268,10.08098,7846,1931,4.06,1.4,5604.5,1,15,0.304,0.7,554,1
BEN_0024,Ben Arous,urban,residential,36.77875,10.26378,15544,3470,4.48,2.485,6253.9,5,16,0.299,1.0,1438,1
BEN_0025,Ben Arous,urban,mixed,36.71338,10.2126,10479,2559,4.09,0.447,23462.9,16,7,0.896,1.3,1020,1
BEN_0026,Ben Arous,urban,residential,36.79447,10.21831,15689,3711,4.23,0.996,15750.7,2,18,0.353,1.0,1573,2
BEN_0027,Ben Arous,urban,residential,36.66133,10.2266,5178,1462,3.54,1.097,4719.0,6,8,0.432,1.0,491,1
BEN_0028,Ben Arous,urban,residential,36.71008,10.28428,8781,2842,3.09,1.867,4704.1,0,11,0.737,1.0,733,1
BEN_0029,Ben Arous,urban,residential,36.75743,10.23787,9559,2930,3.26,0.858,11140.7,7,12,0.558,1.0,921,1
BEN_0030,Ben Arous,urban,mixed,36.81476,10.212,12040,3669,3.28,1.465,8219.1,12,14,0.629,1.3,1288,2
BEN_0031,Ben Arous,urban,mixed,36.69353,10.31013,17950,4465,4.02,3.152,5694.7,9,24,0.286,1.3,1759,1
BEN_0032,Ben Arous,urban,park,36.74157,10.17828,19405,6339,3.06,0.666,29153.7,0,17,0.535,0.9,1112,1
BEN_0033,Ben Arous,urban,commercial,36.74112,10.23761,12817,3702,3.46,1.675,7652.9,25,14,0.423,1.6,2065,2
BEN_0034,Ben Arous,urban,commercial,36.74784,10.14584,9730,3377,2.88,0.78,12481.5,31,17,0.773,1.6,1647,2
BEN_0035,Ben Arous,urban,residential,36.77791,10.28501,32365,8588,3.77,5.106,6338.8,2,34,0.438,1.0,3467,2
BEN_0036,Ben Arous,urban,residential,36.67262,10.23724,8489,2222,3.82,1.455,5832.4,4,6,0.69,1.0,956,2
BEN_0037,Ben Arous,urban,residential,36.7554,10.24459,14150,3608,3.92,2.64,5359.5,3,13,0.458,1.0,1146,1
BEN_0038,Ben Arous,urban,commercial,36.69048,10.25823,6281,1747,3.59,1.397,4497.5,29,9,0.268,1.6,1044,2
BEN_0039,Ben Arous,urban,mixed,36.76538,10.23552,11249,3286,3.42,4.745,2370.8,14,11,0.446,1.3,1298,2
BEN_0040,Ben Arous,urban,commercial,36.73265,10.26232,18919,5991,3.16,1.692,11179.8,26,26,0.887,1.6,3233,2
BEN_0041,Ben Arous,urban,commercial,36.7524,10.16538,18888,5003,3.77,0.516,36578.7,29,21,0.312,1.6,3340,2
BEN_0042,Ben Arous,urban,commercial,36.79003,10.18039,11742,3154,3.72,3.78,3106.6,16,22,0.759,1.6,1769,2
BEN_0043,Ben Arous,urban,park,36.78697,10.17056,5795,1583,3.66,0.727,7968.9,1,2,0.754,0.9,486,1
BEN_0044,Ben Arous,urban,commercial,36.72308,10.23943,17772,5986,2.97,5.144,3454.7,28,17,0.353,1.6,3146,2
BEN_0045,Ben Arous,urban,residential,36.78334,10.21884,17079,4604,3.71,0.767,22260.0,3,18,0.711,1.0,1922,2
BEN_0046,Ben Arous,urban,mixed,36.80591,10.27488,21981,5624,3.91,0.684,32146.4,14,34,0.601,1.3,3299,2
BEN_0047,Ben Arous,urban,commercial,36.79752,10.25676,14736,4988,2.95,2.372,6211.8,23,23,0.433,1.6,2235,2
BEN_0048,Ben Arous,urban,residential,36.72053,10.2666,14457,3278,4.41,1.205,11998.6,5,24,0.386,1.0,1801,2
BEN_0049,Ben Arous,urban,park,36.71782,10.2746,37103,11191,3.32,5.624,6597.7,2,43,0.655,0.9,3708,1
MAN_0000,Manouba,periurban,residential,36.77686,10.07408,5541,1619,3.42,0.787,7039.7,7,6,0.432,1.0,411,1
MAN_0001,Manouba,periurban,residential,36.84957,9.93159,3354,969,3.46,4.474,749.7,5,3,0.084,1.0,335,1
MAN_0002,Manouba,periurban,residential,36.79264,9.90782,16609,4339,3.83,1.592,10430.4,7,22,0.209,1.0,1727,2
MAN_0003,Manouba,periurban,park,36.89648,10.05807,9872,2610,3.78,1.16,8507.2,1,7,0.666,0.9,615,1
MAN_0004,Manouba,periurban,mixed,36.82939,10.01163,10868,2953,3.68,5.418,2005.8,9,11,0.481,1.3,970,1
MAN_0005,Manouba,periurban,mixed,36.79746,10.06166,8537,2169,3.93,1.329,6424.5,12,11,0.512,1.3,784,1
MAN_0006,Manouba,periurban,mixed,36.77404,9.96438,10886,4043,2.69,5.233,2080.4,10,14,0.138,1.3,1342,2
MAN_0007,Manouba,periurban,park,36.75172,9.92083,4579,1209,3.79,2.554,1792.6,0,5,0.579,0.9,396,1
MAN_0008,Manouba,periurban,park,36.77352,9.92607,7733,2284,3.39,6.657,1161.6,2,12,0.304,0.9,599,1
MAN_0009,Manouba,periurban,commercial,36.75831,9.99328,6598,2363,2.79,1.359,4853.7,15,10,0.434,1.6,809,2
MAN_0010,Manouba,periurban,residential,36.87122,9.9956,8747,2353,3.72,3.66,2389.8,5,5,0.159,1.0,794,1
MAN_0011,Manouba,periurban,commercial,36.77866,9.99956,9117,2252,4.05,3.499,2605.4,24,11,0.424,1.6,1530,2
MAN_0012,Manouba,periurban,commercial,36.83894,10.02242,6019,2032,2.96,8.918,674.9,23,6,0.396,1.6,771,2
MAN_0013,Manouba,periurban,mixed,36.8268,9.9999,8020,1910,4.2,1.123,7138.7,12,12,0.661,1.3,1004,2
MAN_0014,Manouba,periurban,mixed,36.79047,9.91872,15829,4402,3.6,0.736,21505.1,13,19,0.766,1.3,2162,2
MAN_0015,Manouba,periurban,residential,36.85141,9.92737,12087,3347,3.61,2.889,4183.6,8,13,0.626,1.0,1150,1
MAN_0016,Manouba,periurban,mixed,36.74723,10.04723,10525,3479,3.03,0.471,22322.5,11,10,0.665,1.3,1574,2
MAN_0017,Manouba,periurban,periphery,36.86309,9.92339,6651,1813,3.67,1.022,6506.6,2,8,0.358,0.8,515,1
MAN_0018,Manouba,periurban,mixed,36.73903,10.00738,14961,3707,4.04,2.459,6083.3,13,20,0.214,1.3,1169,1
MAN_0019,Manouba,periurban,residential,36.7579,9.9287,13467,3567,3.77,2.278,5911.9,5,12,0.505,1.0,1233,1
MAN_0020,Manouba,periurban,mixed,36.79417,10.00107,20791,6427,3.23,0.218,95408.6,16,28,0.492,1.3,2351,2
MAN_0021,Manouba,periurban,residential,36.79194,9.98068,8302,2138,3.88,2.323,3573.2,3,10,0.611,1.0,750,1
MAN_0022,Manouba,periurban,mixed,36.77167,9.98016,12045,3782,3.18,1.398,8613.6,17,20,0.432,1.3,1073,1
MAN_0023,Manouba,periurban,residential,36.76658,10.01766,3286,1005,3.27,1.608,2043.8,4,3,0.71,1.0,212,1
MAN_0024,Manouba,periurban,park,36.6929,10.01609,8664,2918,2.97,0.638,13570.0,1,12,0.327,0.9,1028,2
MAN_0025,Manouba,periurban,mixed,36.8059,10.03657,9796,2658,3.68,4.471,2191.2,10,17,0.788,1.3,1069,2
MAN_0026,Manouba,periurban,commercial,36.76714,9.95861,5917,2350,2.52,1.029,5748.4,29,8,0.886,1.6,800,2
MAN_0027,Manouba,periurban,park,36.83319,9.93389,9311,2734,3.4,1.078,8638.0,2,10,0.394,0.9,807,1
MAN_0028,Manouba,periurban,residential,36.70296,9.95866,6428,1705,3.77,0.275,23365.2,1,10,0.435,1.0,727,2
MAN_0029,Manouba,periurban,commercial,36.85334,9.95646,20300,7251,2.8,1.677,12104.7,23,20,0.625,1.6,3376,2
MAN_0030,Manouba,periurban,residential,36.7525,9.9665,2715,622,4.36,1.182,2297.3,2,2,0.327,1.0,280,2
MAN_0031,Manouba,periurban,mixed,36.81879,10.02375,9056,2763,3.28,2.47,3666.0,9,10,0.71,1.3,803,1
MAN_0032,Manouba,periurban,mixed,36.79752,9.90703,11888,3632,3.27,1.017,11689.8,19,18,0.412,1.3,1558,2
MAN_0033,Manouba,periurban,residential,36.89637,10.03561,6090,2083,2.92,0.772,7891.5,2,7,0.566,1.0,513,1
MAN_0034,Manouba,periurban,park,36.75857,9.97513,6725,1771,3.8,1.819,3697.1,2,8,0.899,0.9,589,1
MAN_0035,Manouba,periurban,mixed,36.83911,9.9926,10102,2806,3.6,5.546,1821.4,16,11,0.458,1.3,1122,2
MAN_0036,Manouba,periurban,commercial,36.78544,9.98432,3218,848,3.79,3.92,820.9,23,2,0.842,1.6,576,2
MAN_0037,Manouba,periurban,residential,36.8667,9.89551,13705,4229,3.24,1.186,11552.5,2,17,0.316,1.0,1352,1
MAN_0038,Manouba,periurban,periphery,36.81752,9.94086,9107,2033,4.48,1.254,7265.1,0,11,0.77,0.8,620,1
MAN_0039,Manouba,periurban,mixed,36.79456,9.93554,8422,2249,3.74,1.136,7411.4,6,11,0.496,1.3,700,1
MAN_0040,Manouba,periurban,mixed,36.7962,10.05752,5831,1618,3.6,2.188,2665.4,11,4,0.358,1.3,808,2
MAN_0041,Manouba,periurban,commercial,36.8245,9.98617,8518,1973,4.32,1.421,5994.6,28,7,0.669,1.6,1434,2
MAN_0042,Manouba,periurban,commercial,36.78528,9.99267,10777,4116,2.62,4.842,2225.7,22,11,0.829,1.6,1437,2
MAN_0043,Manouba,periurban,mixed,36.79776,9.93237,5345,1452,3.68,0.842,6350.5,19,6,0.798,1.3,667,2
MAN_0044,Manouba,periurban,residential,36.80712,9.90244,9841,2963,3.32,1.535,6410.5,3,13,0.597,1.0,1059,2
MAN_0045,Manouba,periurban,periphery,36.76417,10.0311,3235,881,3.67,1.509,2143.8,3,2,0.493,0.8,215,1
MAN_0046,Manouba,periurban,residential,36.80052,9.94868,10801,3470,3.11,1.437,7517.2,3,12,0.783,1.0,751,1
MAN_0047,Manouba,periurban,commercial,36.75192,9.97016,6334,1769,3.58,5.059,1252.1,28,10,0.249,1.6,901,2
MAN_0048,Manouba,periurban,periphery,36.83614,10.06248,12031,2725,4.41,3.464,3473.1,2,16,0.223,0.8,891,1
MAN_0049,Manouba,periurban,residential,36.84376,10.00319,4782,1512,3.16,4.935,968.9,4,10,0.242,1.0,371,1
NAB_0000,Nabeul,mixed,periphery,36.40849,10.74696,13657,5591,2.44,1.065,12819.0,3,10,0.569,0.8,1148,1
NAB_0001,Nabeul,mixed,residential,36.3591,10.76616,17283,4354,3.97,1.98,8727.9,3,23,0.336,1.0,1583,1
NAB_0002,Nabeul,mixed,periphery,36.51064,10.76927,28459,6974,4.08,0.8,35593.2,2,31,0.464,0.8,3089,2
NAB_0003,Nabeul,mixed,residential,36.4535,10.62838,10775,2957,3.64,0.827,13021.4,4,16,0.666,1.0,1295,2
NAB_0004,Nabeul,mixed,mixed,36.40071,10.79104,7868,2456,3.2,1.961,4012.9,6,12,0.138,1.3,1043,2
NAB_0005,Nabeul,mixed,periphery,36.40288,10.79209,15757,3898,4.04,1.579,9978.3,2,19,0.354,0.8,1498,1
NAB_0006,Nabeul,mixed,residential,36.51633,10.69589,28434,6129,4.64,2.173,13085.8,3,35,0.562,1.0,3586,2
NAB_0007,Nabeul,mixed,mixed,36.44515,10.71003,7960,2323,3.43,2.838,2804.7,14,7,0.129,1.3,864,2
NAB_0008,Nabeul,mixed,mixed,36.5,10.81517,15079,4109,3.67,1.39,10847.8,5,19,0.154,1.3,1698,2
NAB_0009,Nabeul,mixed,commercial,36.41559,10.84425,12114,3375,3.59,2.471,4901.7,19,16,0.312,1.6,2005,2
NAB_0010,Nabeul,mixed,periphery,36.43178,10.76057,6261,1581,3.96,10.147,617.0,2,7,0.353,0.8,480,1
NAB_0011,Nabeul,mixed,residential,36.49421,10.72725,20846,6739,3.09,1.028,20268.9,3,36,0.727,1.0,1864,1
